episode,reward,epsilon,Max Future Q-value,Action,State
253,-360,0.855588642362958,-0.8652316687928217,Daignose for ArterialpH level,Non ideal SpO2 and FiO2
254,13,0.8554175246344854,-0.17577850312152954,Daignose for heartRate,Non ideal Maintain heartRate
255,-390,0.8552464411295585,-0.47191530336235665,Daignose for SpO2 and FiO2,Non ideal heartRate
256,25,0.8550753918413326,-0.13738278588934083, , 
257,-320,0.8549043767629644,-0.5534188591016855,Daignose for SpO2 and FiO2, 
258,-469,0.8547333958876118,-0.6364754429291306, , 
259,-352,0.8545624492084343,-0.3537906037315732,Daignose for ArterialpH level,Non ideal heartRate
260,-200,0.8543915367185926,-2.024367856983141,Daignose for heartRate,Non ideal SpO2 and FiO2
261,-126,0.8542206584112488,-0.1719029360669353,Daignose for heartRate,Non ideal Maintain heartRate
262,-27,0.8540498142795666,-0.05623910771267138,Daignose for SpO2 and FiO2,Non ideal SpO2 and FiO2
263,-140,0.8538790043167107,-0.46721562332707745,Daignose for SpO2 and FiO2, 
264,22,0.8537082285158474,-0.5614794846780384,Daignose for SpO2 and FiO2, 
265,-301,0.8535374868701442,-0.3031489752751453,Daignose for SpO2 and FiO2,Non ideal SpO2 and FiO2
266,4,0.8533667793727702,-3.0520360606169032, ,Non ideal ArterialpH level
267,-173,0.8531961060168957,-1.7979050606044296, , 
268,1,0.8530254667956924,-0.24045206740455782,Daignose for heartRate, 
269,-346,0.8528548617023333,-0.3041611459063063,Daignose for ArterialpH level,Non ideal ArterialpH level
270,-496,0.8526842907299929,-0.897237065227527,Daignose for heartRate,Non ideal heartRate
271,-6,0.8525137538718469,-0.736157562440221,Daignose for SpO2 and FiO2,Non ideal heartRate
272,-300,0.8523432511210726,-1.8643645704983776,Daignose for heartRate,Non ideal ArterialpH level
273,-200,0.8521727824708484,-0.9628463360343837,Daignose for ArterialpH level,Non ideal SpO2 and FiO2
274,-200,0.8520023479143543,-1.8939746806326587, , 
275,-83,0.8518319474447714,-1.8636112878960462,Daignose for ArterialpH level,Non ideal ArterialpH level
276,-324,0.8516615810552824,-1.1794768940306084,Daignose for heartRate,Non ideal ArterialpH level
277,-52,0.8514912487390714,-0.9944300181082761,Daignose for ArterialpH level,Non ideal SpO2 and FiO2
